replication,seed,final_time,workday_minutes,total_revenue,clients_generated,clients_completed,average_seller_wait,average_repair_wait,average_change_wait,seller_utilization,technician_utilization,specialist_utilization,completed_type_1,completed_type_2,completed_type_3,completed_type_4,revenue_type_1,revenue_type_2,revenue_type_3,revenue_type_4
111,12456,487.7880254899619,480,7700.0,24,24,0.14930365592399278,0.0,0.0,0.1510799292724674,0.2110737215400612,0.0,10,7,0,7,0.0,2450.0,0.0,5250.0
112,12457,478.14305860551707,480,6550.0,26,26,0.0,0.0,0.0,0.1672723564509189,0.2035132389157481,0.0,13,8,0,5,0.0,2800.0,0.0,3750.0
113,12458,481.79167570131557,480,5800.0,16,16,0.0,0.0,0.0,0.10801936697051344,0.09360005012355084,0.11960747347577978,6,3,2,5,0.0,1050.0,1000.0,3750.0
114,12459,526.3425720534674,480,6250.0,24,24,0.0,0.0,3.237549696243794,0.1272577383513298,0.19874009759034034,0.043736438775457256,12,5,3,4,0.0,1750.0,1500.0,3000.0
115,12460,491.68852149128827,480,7800.0,30,30,0.24004830885312364,0.0,0.0,0.15372563297408998,0.30044995958506465,0.08161011175496088,15,8,1,6,0.0,2800.0,500.0,4500.0
116,12461,511.1537315839734,480,5100.0,22,22,0.0,0.0,0.0,0.12739479558818165,0.16184124527811455,0.0,12,6,0,4,0.0,2100.0,0.0,3000.0
117,12462,492.6940005832282,480,3400.0,16,16,0.05571720575293959,0.0,0.0,0.08909268742146964,0.10417008725232937,0.045483859924546344,9,4,1,2,0.0,1400.0,500.0,1500.0
118,12463,485.0544963854962,480,8250.0,22,22,0.11626532726034161,0.0,0.0,0.16827478639798968,0.14416818324442854,0.00113371174125626,8,5,1,8,0.0,1750.0,500.0,6000.0
119,12464,448.58257346532804,480,7450.0,23,23,0.14575666318011293,0.0,0.0,0.17183954691509212,0.1968024398658777,0.04730494929109609,9,7,1,6,0.0,2450.0,500.0,4500.0
120,12465,519.924068315489,480,9300.0,35,35,0.21057749463761052,0.0,0.0,0.217501879713964,0.31460585724539825,0.03559941230056382,18,8,1,8,0.0,2800.0,500.0,6000.0
121,12466,517.9903447914411,480,8000.0,26,26,0.10279215897476818,0.0,0.0,0.16337158359924958,0.18894338367750482,0.025661982762809336,12,5,2,7,0.0,1750.0,1000.0,5250.0
122,12467,491.91906098160865,480,5900.0,19,19,0.0,0.0,0.0,0.13397160959209467,0.14880876187756933,0.048260563339779426,8,4,3,4,0.0,1400.0,1500.0,3000.0
123,12468,502.1499904579294,480,3750.0,13,13,0.0,0.0,0.0,0.07619770305089367,0.08017112120165672,0.09258533814333299,5,5,1,2,0.0,1750.0,500.0,1500.0
124,12469,481.29582849913896,480,9850.0,23,23,0.0,0.0,0.0,0.15458453142973938,0.18777466933044182,0.12107517997097761,6,6,2,9,0.0,2100.0,1000.0,6750.0
125,12470,500.22590809936764,480,6000.0,18,18,0.0,0.0,0.0,0.11139043574839638,0.19974756070938043,0.007112881869220615,7,5,1,5,0.0,1750.0,500.0,3750.0
126,12471,495.3379502970794,480,6750.0,30,30,0.26222480156904454,0.32057388815522586,8.990100130558432,0.1629703019664683,0.3353931829369257,0.16313943468665162,15,10,2,3,0.0,3500.0,1000.0,2250.0
127,12472,483.6063124875757,480,5400.0,24,24,0.0,0.0,0.0,0.13942586658805864,0.19702473389185463,0.06421690790737906,13,4,5,2,0.0,1400.0,2500.0,1500.0
128,12473,481.5001485062869,480,6250.0,27,27,0.025370406523650132,0.0,0.0,0.1624770021260663,0.25090796890864214,0.07000677800580218,15,5,3,4,0.0,1750.0,1500.0,3000.0
129,12474,483.4903770137069,480,7600.0,20,20,0.0,0.0,7.805072899014387,0.13788103152056033,0.06865990154319444,0.1479746419566745,8,1,4,7,0.0,350.0,2000.0,5250.0
130,12475,493.1442333859564,480,6150.0,24,24,0.31010981736995075,0.0,0.0,0.14611257518616427,0.26624916124171055,0.09597853026354865,13,4,2,5,0.0,1400.0,1000.0,3750.0
131,12476,468.2000405486622,480,4300.0,19,19,0.0,0.0,0.0,0.12490123475664468,0.22137735039676906,0.07999287944415107,11,3,2,3,0.0,1050.0,1000.0,2250.0
132,12477,477.8176875038613,480,9600.0,27,27,0.17634656325858003,0.18885734039555757,0.0,0.18022908703823398,0.2238779541991967,0.21296459882260352,10,6,3,8,0.0,2100.0,1500.0,6000.0
133,12478,450.4567182887967,480,5650.0,27,27,0.1594283059768747,0.0,0.0,0.1939769424575454,0.2303083862574607,0.027590437838900594,17,4,1,5,0.0,1400.0,500.0,3750.0
134,12479,467.8154405983145,480,3800.0,21,21,0.0,0.0,0.0,0.13880521272609334,0.2245197285026954,0.030811022598742275,14,3,1,3,0.0,1050.0,500.0,2250.0
135,12480,433.36758137245675,480,5900.0,14,14,0.0,0.0,0.0,0.10583941287835907,0.12517783939544436,0.0,4,4,0,6,0.0,1400.0,0.0,4500.0
136,12481,505.7109362305904,480,5650.0,24,24,0.20344238642588527,0.0,0.0,0.12829963100117506,0.2652242141155923,0.07259679403950411,13,4,4,3,0.0,1400.0,2000.0,2250.0
137,12482,504.5538265980736,480,5650.0,19,19,0.0,0.0,0.0,0.1207828248365767,0.19955466003146768,0.03927522819187876,9,4,1,5,0.0,1400.0,500.0,3750.0
138,12483,464.10202186304394,480,8700.0,32,32,0.10727132820039387,0.0,0.0,0.22118053577645574,0.27754584709139984,0.22901986293771087,16,7,2,7,0.0,2450.0,1000.0,5250.0
139,12484,533.2235064272771,480,2800.0,27,27,0.0,0.0,0.0,0.14338738399965337,0.32696607831523944,0.041886204710512305,21,3,2,1,0.0,1050.0,1000.0,750.0
140,12485,460.47256118150545,480,4600.0,20,20,0.0,0.0,0.0,0.12022947447802948,0.28620408464159525,0.13557871420636833,10,6,2,2,0.0,2100.0,1000.0,1500.0
141,12486,485.8600708502874,480,4500.0,20,20,0.0,0.0,0.0,0.12032779884789986,0.22634892113657476,0.0024209149836335693,11,5,1,3,0.0,1750.0,500.0,2250.0
142,12487,484.09806534106065,480,5250.0,23,23,0.7619775977428869,0.2681445539696784,8.871330880153934,0.13060714267906195,0.1818104232766471,0.18246117821306837,12,5,4,2,0.0,1750.0,2000.0,1500.0
